provincia,nombreMunicipio,CodigoVia,tipoVia,nombreVia
VALENCIA,ADEMUZ,91,DS,ADEMUZ-OT
VALENCIA,ADEMUZ,90,DS,ADEMUZ-RS
VALENCIA,ADEMUZ,1,CL,BLANCO
VALENCIA,ADEMUZ,104,CL,BOHILGUES
VALENCIA,ADEMUZ,2,CL,BOTICARIO
VALENCIA,ADEMUZ,3,CL,CALDERAS
VALENCIA,ADEMUZ,23,CM,CERRADA
VALENCIA,ADEMUZ,4,CL,CRUCES
VALENCIA,ADEMUZ,36,DS,DISEMINADOS
VALENCIA,ADEMUZ,31,CL,DOMICILIO PROPIO
VALENCIA,ADEMUZ,32,PZ,ELVIRA LINDO
VALENCIA,ADEMUZ,5,CL,EMPEDRADO
VALENCIA,ADEMUZ,29,DS,ERAS TORRE ALTA-O.T
VALENCIA,ADEMUZ,20,DS,ERAS TORRE ALTA-R.S
VALENCIA,ADEMUZ,24,CM,FUENTE VIEJA
VALENCIA,ADEMUZ,7,CL,HORNO
VALENCIA,ADEMUZ,33,PZ,IGLESIA
VALENCIA,ADEMUZ,8,AL,MAS DEL OLMO
VALENCIA,ADEMUZ,6,DS,MAS DEL OLMO-O.T
VALENCIA,ADEMUZ,26,DS,MAS DEL OLMO-R.S
VALENCIA,ADEMUZ,9,CL,MESON
VALENCIA,ADEMUZ,10,CL,MOLINO
VALENCIA,ADEMUZ,11,CL,MURO
VALENCIA,ADEMUZ,64,PL,POLIGONO  1-OT
VALENCIA,ADEMUZ,38,PL,POLIGONO  1-RS
VALENCIA,ADEMUZ,65,PL,POLIGONO  2-OT
VALENCIA,ADEMUZ,39,PL,POLIGONO  2-RS
VALENCIA,ADEMUZ,66,PL,POLIGONO  3-OT
VALENCIA,ADEMUZ,40,PL,POLIGONO  3-RS
VALENCIA,ADEMUZ,67,PL,POLIGONO  4-OT
VALENCIA,ADEMUZ,41,PL,POLIGONO  4-RS
VALENCIA,ADEMUZ,68,PL,POLIGONO  5-OT
VALENCIA,ADEMUZ,42,PL,POLIGONO  5-RS
VALENCIA,ADEMUZ,69,PL,POLIGONO  6-OT
VALENCIA,ADEMUZ,43,PL,POLIGONO  6-RS
VALENCIA,ADEMUZ,70,PL,POLIGONO  7-OT
VALENCIA,ADEMUZ,44,PL,POLIGONO  7-RS
VALENCIA,ADEMUZ,71,PL,POLIGONO  8-OT
VALENCIA,ADEMUZ,45,PL,POLIGONO  8-RS
VALENCIA,ADEMUZ,72,PL,POLIGONO  9-OT
VALENCIA,ADEMUZ,46,PL,POLIGONO  9-RS
VALENCIA,ADEMUZ,73,PL,POLIGONO 10-OT
VALENCIA,ADEMUZ,47,PL,POLIGONO 10-RS
VALENCIA,ADEMUZ,74,PL,POLIGONO 11-OT
VALENCIA,ADEMUZ,48,PL,POLIGONO 11-RS
VALENCIA,ADEMUZ,75,PL,POLIGONO 12-OT
VALENCIA,ADEMUZ,49,PL,POLIGONO 12-RS
VALENCIA,ADEMUZ,76,PL,POLIGONO 13-OT
VALENCIA,ADEMUZ,50,PL,POLIGONO 13-RS
VALENCIA,ADEMUZ,77,PL,POLIGONO 14-OT
VALENCIA,ADEMUZ,51,PL,POLIGONO 14-RS
VALENCIA,ADEMUZ,78,PL,POLIGONO 15-OT
VALENCIA,ADEMUZ,52,PL,POLIGONO 15-RS
VALENCIA,ADEMUZ,79,PL,POLIGONO 16-OT
VALENCIA,ADEMUZ,53,PL,POLIGONO 16-RS
VALENCIA,ADEMUZ,80,PL,POLIGONO 17-OT
VALENCIA,ADEMUZ,54,PL,POLIGONO 17-RS
VALENCIA,ADEMUZ,81,PL,POLIGONO 18-OT
VALENCIA,ADEMUZ,55,PL,POLIGONO 18-RS
VALENCIA,ADEMUZ,82,PL,POLIGONO 19-OT
VALENCIA,ADEMUZ,56,PL,POLIGONO 19-RS
VALENCIA,ADEMUZ,83,PL,POLIGONO 20-OT
VALENCIA,ADEMUZ,57,PL,POLIGONO 20-RS
VALENCIA,ADEMUZ,84,PL,POLIGONO 21-OT
VALENCIA,ADEMUZ,58,PL,POLIGONO 21-RS
VALENCIA,ADEMUZ,85,PL,POLIGONO 22-OT
VALENCIA,ADEMUZ,59,PL,POLIGONO 22-RS
VALENCIA,ADEMUZ,86,PL,POLIGONO 23-OT
VALENCIA,ADEMUZ,60,PL,POLIGONO 23-RS
VALENCIA,ADEMUZ,87,PL,POLIGONO 24-OT
VALENCIA,ADEMUZ,61,PL,POLIGONO 24-RS
VALENCIA,ADEMUZ,88,PL,POLIGONO 25-OT
VALENCIA,ADEMUZ,62,PL,POLIGONO 25-RS
VALENCIA,ADEMUZ,89,PL,POLIGONO 26-OT
VALENCIA,ADEMUZ,63,PL,POLIGONO 26-RS
VALENCIA,ADEMUZ,12,CL,PORTAL
VALENCIA,ADEMUZ,105,PL,PP LOS PLANOS UE-1
VALENCIA,ADEMUZ,13,CL,ROSARIO
VALENCIA,ADEMUZ,14,CL,SAN JOAQUIN
VALENCIA,ADEMUZ,15,CL,SAN ROQUE
VALENCIA,ADEMUZ,37,DS,SAN ROQUE-O.T
VALENCIA,ADEMUZ,19,DS,SAN ROQUE-R.S
VALENCIA,ADEMUZ,93,DS,SAN ROQUE-R.S
VALENCIA,ADEMUZ,16,CL,SAN VICENTE
VALENCIA,ADEMUZ,17,AL,SESGA
VALENCIA,ADEMUZ,27,DS,SESGA-O.T
VALENCIA,ADEMUZ,28,DS,SESGA-R.S
VALENCIA,ADEMUZ,18,CL,SOLANO
VALENCIA,ADEMUZ,103,CL,TURIA
VALENCIA,ADEMUZ,21,AL,VAL DE LA SABINA
VALENCIA,ADEMUZ,35,DS,VAL DE LA SABINA O.T
VALENCIA,ADEMUZ,25,DS,VAL DE LA SABINA-R.S
VALENCIA,ADEMUZ,30,AV,VALENCIA
VALENCIA,ADEMUZ,22,CL,VALLADO
VALENCIA,ADEMUZ,34,CR,VALLANCA
VALENCIA,ADOR,81,CL,9 D'OCTUBRE
VALENCIA,ADOR,114,CL,A ADOR FOCH
VALENCIA,ADOR,91,CL,ALBER
VALENCIA,ADOR,2,CM,ALFAHUIR
VALENCIA,ADOR,1,PD,ALFAS
VALENCIA,ADOR,92,CL,AMETLER
VALENCIA,ADOR,93,CL,ANOUER
VALENCIA,ADOR,58,CL,AUSIAS MARCH
VALENCIA,ADOR,115,CL,B ADOR FOCH
VALENCIA,ADOR,4,CM,BALSA
VALENCIA,ADOR,94,CL,BEDOLL
VALENCIA,ADOR,24,CL,BISBE AMIGO
VALENCIA,ADOR,80,CL,BLASCO IBAÑEZ
VALENCIA,ADOR,5,CM,BUDELL
VALENCIA,ADOR,116,CL,C ADOR FOCH
VALENCIA,ADOR,59,PD,CABEZO
VALENCIA,ADOR,6,CL,CALVARI
VALENCIA,ADOR,119,CM,CAMI COLLADO
VALENCIA,ADOR,8,PD,CANALETA
VALENCIA,ADOR,109,AV,CASIMIRO BATALLER
VALENCIA,ADOR,95,CL,CASTANYER
VALENCIA,ADOR,61,CM,CASTELLONET
VALENCIA,ADOR,96,CL,CEDRE
VALENCIA,ADOR,10,CL,CERVANTES
VALENCIA,ADOR,82,CL,CHAMBERI
VALENCIA,ADOR,121,CL,CIENTIFI. MARGARITA SALAS
VALENCIA,ADOR,122,CL,CIENTIFICA MARIE CURIE
VALENCIA,ADOR,11,CM,CISTER
VALENCIA,ADOR,124,CL,COLLADO
VALENCIA,ADOR,48,PD,COLLADO
VALENCIA,ADOR,12,CL,COLON
VALENCIA,ADOR,108,CL,COMP.MATILDE SALVADOR
VALENCIA,ADOR,62,AV,CONSTITUCIO
VALENCIA,ADOR,63,PD,CORONA
VALENCIA,ADOR,64,PD,CUART
VALENCIA,ADOR,117,CL,D ADOR FOCH
VALENCIA,ADOR,123,PL,DE L'EDO
VALENCIA,ADOR,90,CL,DE LA ERMITA
VALENCIA,ADOR,75,CL,DEL MASSEROT
VALENCIA,ADOR,38,VI,DESPOBLADO
VALENCIA,ADOR,13,CM,DEVALLAES
VALENCIA,ADOR,45,CL,DOMICILIO PROPIO
VALENCIA,ADOR,41,CL,DOS DE MAIG
VALENCIA,ADOR,118,CL,E ADOR FOCH
VALENCIA,ADOR,44,CM,EDO
VALENCIA,ADOR,112,CL,ESCRIPTORA ISABEL VILLENA
VALENCIA,ADOR,97,CL,EUCALIPTUS
VALENCIA,ADOR,53,PD,FEMATS
VALENCIA,ADOR,14,CL,FERNANDO MIÑANA
VALENCIA,ADOR,65,PZ,FONT
VALENCIA,ADOR,16,CL,GOYA
VALENCIA,ADOR,103,CL,GREGORI MAIANS
VALENCIA,ADOR,50,PD,HORTA
VALENCIA,ADOR,40,CL,ISABEL LA CATOLICA
VALENCIA,ADOR,77,CL,JOAN FUSTER
VALENCIA,ADOR,67,CL,JOANOT MARTORELL
VALENCIA,ADOR,43,CL,JUAN XXIII
VALENCIA,ADOR,83,CL,L'HORTA
VALENCIA,ADOR,57,AV,LA SAFOR
VALENCIA,ADOR,98,CL,LLIMERA
VALENCIA,ADOR,20,CM,LLORET
VALENCIA,ADOR,74,CL,LLUIS VIVES
VALENCIA,ADOR,68,PZ,MAJOR
VALENCIA,ADOR,55,PD,MARCHUQUERA
VALENCIA,ADOR,66,CL,MARIA BENEYTO
VALENCIA,ADOR,21,CM,MASEROT
VALENCIA,ADOR,69,PD,MERCADERA
VALENCIA,ADOR,70,PD,MERLICH
VALENCIA,ADOR,73,CL,MESTRE SERRANO
VALENCIA,ADOR,22,CM,MORAN
VALENCIA,ADOR,102,CL,MOSSEN ROSENDO ESTRUCH
VALENCIA,ADOR,79,CL,MURTERA DE LA
VALENCIA,ADOR,23,PD,NAVESA
VALENCIA,ADOR,18,CL,NUESTRA SEÑORA LORETO
VALENCIA,ADOR,52,PL,NUMERO SIETE
VALENCIA,ADOR,25,CM,PARTEL
VALENCIA,ADOR,71,PD,PEÑAS
VALENCIA,ADOR,54,PD,PINARET
VALENCIA,ADOR,72,PD,PLANA
VALENCIA,ADOR,107,PL,POLIGONO 10
VALENCIA,ADOR,56,PL,POLIGONO 11
VALENCIA,ADOR,120,PL,POLIGONO 12
VALENCIA,ADOR,26,CM,POTRIES
VALENCIA,ADOR,78,CL,PROY  6 NS 80
VALENCIA,ADOR,84,CL,PROY 12 NS 80
VALENCIA,ADOR,49,CL,PROYECTO
VALENCIA,ADOR,46,PD,QUINTANES
VALENCIA,ADOR,85,PD,RACO NOTARI
VALENCIA,ADOR,105,AV,RACONC
VALENCIA,ADOR,28,PD,RACONC
VALENCIA,ADOR,39,CL,RAMON Y CAJAL
VALENCIA,ADOR,29,PD,RAMONET
VALENCIA,ADOR,86,CL,RAVAL
VALENCIA,ADOR,110,CL,REGIDOR.TERE REIG ESTRUCH
VALENCIA,ADOR,113,CL,REGIDORA Mª ISABEL PUIG
VALENCIA,ADOR,111,CL,REGIDORA PURA MARI FAUS
VALENCIA,ADOR,99,CL,ROURE
VALENCIA,ADOR,51,PD,SABERES
VALENCIA,ADOR,76,CL,SALCEDA DE CASELAS
VALENCIA,ADOR,100,CL,SALZE
VALENCIA,ADOR,31,CL,SANT FRANCESC D'ASIS
VALENCIA,ADOR,87,PZ,SANT FRANCESC DE BORJA
VALENCIA,ADOR,33,CL,SANT JOAN
VALENCIA,ADOR,32,CL,SANT JOSEP
VALENCIA,ADOR,35,CL,SANT VICENT
VALENCIA,ADOR,34,CL,SANTISSIM CRIST
VALENCIA,ADOR,88,SD,SENDA
VALENCIA,ADOR,36,CM,SEQUIO
VALENCIA,ADOR,47,CL,SISTER
VALENCIA,ADOR,89,PD,SOLERAS
VALENCIA,ADOR,101,CL,TARONGER
VALENCIA,ADOR,60,CL,VERGE DEL CARME
VALENCIA,ADOR,37,CM,VILLALONGA
VALENCIA,AGULLENT,116,CL,AIELO DE MALFERIT
VALENCIA,AGULLENT,123,CL,AIELO DE RUGAT
VALENCIA,AGULLENT,1,CL,ALACANT
VALENCIA,AGULLENT,110,AV,ALEMANYA
VALENCIA,AGULLENT,124,CL,ALFARRASI
VALENCIA,AGULLENT,66,CR,ALMANSA
VALENCIA,AGULLENT,3,CL,ALMASSERA
VALENCIA,AGULLENT,104,CL,ANGLATERRA D'
VALENCIA,AGULLENT,4,CL,ASSEGADOR
VALENCIA,AGULLENT,121,CL,ATZENETA D'ALBAIDA
VALENCIA,AGULLENT,99,CL,AUSIAS MARCH
VALENCIA,AGULLENT,17,CL,BAIXA DEL MOLI DE LA
VALENCIA,AGULLENT,9,CL,BAIXADA CONVENT
VALENCIA,AGULLENT,47,CL,BARCELONA
VALENCIA,AGULLENT,83,PL,BARRANC MARQUES
VALENCIA,AGULLENT,118,CL,BELGIDA DE
VALENCIA,AGULLENT,91,PL,BENIFET
VALENCIA,AGULLENT,107,CL,BIELA
VALENCIA,AGULLENT,80,CL,BISBE JESUS PLA
VALENCIA,AGULLENT,84,PL,BOLLO EL
VALENCIA,AGULLENT,105,CL,BÈLGICA
VALENCIA,AGULLENT,68,CL,CAMI DE BOCAIRENT
VALENCIA,AGULLENT,120,CL,CAMI DE L'ESTACIO DEL
VALENCIA,AGULLENT,37,CL,CAMI DEL MIG
VALENCIA,AGULLENT,79,CL,CAMI VELL D'ONTINYENT
VALENCIA,AGULLENT,67,PL,CANADELLA LA
VALENCIA,AGULLENT,49,CL,CANONGE JOSE MARIA SOLER
VALENCIA,AGULLENT,46,CL,CANONIGO FRANCISCO VIDAL
VALENCIA,AGULLENT,5,CL,CANONIGO TORMO
VALENCIA,AGULLENT,81,UR,CARABINA LA
VALENCIA,AGULLENT,6,CL,CARDENAL REIG
VALENCIA,AGULLENT,88,PL,CASA FELICIO
VALENCIA,AGULLENT,90,PL,CASA VICARI
VALENCIA,AGULLENT,7,CL,CASTELL
VALENCIA,AGULLENT,2,CL,CASTELLO
VALENCIA,AGULLENT,130,CL,CATALI
VALENCIA,AGULLENT,64,PZ,CONSTITUCIO
VALENCIA,AGULLENT,132,AV,CORDELL DE MURCIA
VALENCIA,AGULLENT,10,CL,COSTERA LA
VALENCIA,AGULLENT,76,PL,COSTERA LA
VALENCIA,AGULLENT,82,UR,COSTES LES
VALENCIA,AGULLENT,56,TR,CREU SANT ROC
VALENCIA,AGULLENT,54,CL,CRIST DE LA SALUT
VALENCIA,AGULLENT,109,AV,DIPUTACIO DE LA
VALENCIA,AGULLENT,44,DS,DISEMINADOS
VALENCIA,AGULLENT,45,CL,DOMICILIO PROPIO
VALENCIA,AGULLENT,98,CL,ENRIC VALOR
VALENCIA,AGULLENT,52,PZ,ERES LES
VALENCIA,AGULLENT,16,CL,ESGLESIA
VALENCIA,AGULLENT,15,PZ,ESGLESIA
VALENCIA,AGULLENT,53,PZ,ESPANYA
VALENCIA,AGULLENT,94,PL,ESTAIG L'
VALENCIA,AGULLENT,108,AV,FRANÇA
VALENCIA,AGULLENT,11,CL,FUMERAL
VALENCIA,AGULLENT,30,CL,HERMANOS ALFONS Y FCO PLÀ
VALENCIA,AGULLENT,112,AV,ITALIA
VALENCIA,AGULLENT,115,PZ,JOANOT MARTORELL
VALENCIA,AGULLENT,57,CL,JOAQUIN ESPLUGUES
